,Review,Rank
0,증인이 낫다 공감을 눌러주세요 vs 기묘한가족이 낫다 비공감을 눌러주세요 ,5
1,“김향기와 정우성의 조합은 완벽했다” ,10
2,재미있으면 추천 재미없으면 비추천뉼러주세요 ,5
3,좋은 영화를  말도 언되는 이유로 평점테러하는 인간들 어떻게 고소 안되나여?? ,10
4,"재미, 감동, 스릴까지 있는 힐링영화 ",10
5,오랜만에 정말 좋은 영화를 본 느낌!! 김향기의 연기에 빠져버렸다 ,10
6,"최근 본 한국영화중에 가장 좋았다, 배우들의 호흡도 연기도 너무 좋고 많은 울림을 안겨주는 이야기, 몰입도도 굉장했음!! ",10
7,웃기고 슬프고 여운이 남는 영화네요.당신은 좋은 사람입니까? 훌쩍 ,10
8,시사회로봤는데 진심 알바아니고 정말 감동적이고 재밌다. 정우성이 오랜만에 영화 제대로 골랐다...ㅠ ,10
9,힘뺀 정우성 물오른김향기 ,8
10,"""이 영화는 좋은 영화입니다"" ",10
11,오랜만에 영화보고 힐링했습니다 ,10
12,정말 너무나도 착한영화 ,10
13,7번방의 선물보다 재밌다!! ,10
14,메가토크로 미리 봤는데 정말 추천하고 싶어요. 생각지도 못했던 스토리 전개와 몰입감있는 법정씬도 좋고 무엇보다 힘뺀 정우성 연기와 김향기 연기가 정말 볼만했네요. ,10
15,시사회에서 봤습니다 여러분 감동 의 물결에 맞고 싶으시면 당장 보세요!!! ,10
16,이런 영화가 천만 넘어야 되는데 ,10
17,극한직업보다 재밌다 추천 재미없다 비추천 ,10
18,"보고 나면 너무나 많은 생각을 하게 하는 좋은 영화! '당신은 좋은 사람입니까?' 묵직한 울림도 있고 감동가득, 법정신에선 긴장감까지! ",10
19,"인간관계, 일 여러가지 지치는 일이 많아도 이런 영화를 보며 견딜 수 있는 것 같아요. 감사한 영화! ",10
20,연휴기간에 아들딸 데리고 가서 봤는데 좋더이다. ,10
21,"졸린 눈을 비비며 아침 칼바람 맞아가며 재미없으면 자야지 라는 생각으로 갔는데, 그렇게 생각했던 내 모습이 너무 죄송하다. 단순한 킬타 영화로도 좋은데 그렇게만 판단하기엔 장면과 대사가 계속 맴돈다. 편안한 긴장과 ...",10
22,시사회로 보고왔는데...깊은울림이 있는 따뜻한 영화입니다. ,10
23,마음 따뜻하게 잘 보고 왔습니다. 정우성 김향기 두 배우 호흡이 좋네요. ,10
24,시사회로 봤어요 ''정우성 배우가 길을 열어주면 향기 배우가 그길을 따라가는것 같다'' 라고 말하고싶습니다! 한마디로 감동과 재미가 다 갖춰진 영화라고 말하고싶습니다 ,10
25,정우성 김향기 좋아해서 보러 갔는데 사건의 긴장감도 대단했다. 메시지도 좋아서 또 보고 싶은 영화. ,10
26,아침부터 웃다가 울다가 ...나는 좋은영화를 봤습니다! ,10
27,생각보다 신파스럽지 않고 김향기 연기가 너무 좋음 ㅠㅠ전반적으로 잔잔한데 소소하게 웃기기도 하고.. 진짜 좋은 영화 추천합니다! ,10
28,롯시 신림 7:20분 조조 보고 나왔어요. 올해 최고 영화 같네요 정우성 김향기짱 ,10
29,조조영화 보고왔다.두말안한다 꼭보자 스토리핵잼 감동 웃음은 보너스다1000만가즈앗 ,10
30,웰 메이드 영화란건 이런것이다. 정우성 연기도 한층 좋아졌고 김향기는 정말 대단한 배우다. ,10
31,최근 개봉한 국산 영화중에서 수작중의 수작임초반 흥행못하더라도 본 사람들 입소문때문에 역주행할 영화  알리타도 재미 있었지만 난 개인적으로 이 영화도 재미 있게 봄 2시간이라는 짧지않은 시간 배우들의 연기와 스토리로...,10
32,극한직업보다 더 감동있게 잘봤습니다. ,10
33,자극적이지 않은 가슴에 울림이 있는 영화였어요!  배우들의 연기도 좋았고 여러면에서 만족도 높은 영화네요! ,10
34,이 영화는 좋은 영화 임니다 ,10
35,극한 직업 보다는 재밌다^^ ,10
36,정우성 인생작. 왜냐고묻지않고 있는그대로받아들이기 ,10
37,이거진짜알바아니라 재밌어요 김향기정우성 흥해라 ,10
38,김향기와 정우성의 조합은 완벽했다 ,10
39,간만에 정말 잘 만든 영화나왔네요 감동... ,10
40,"단순한 휴먼 드라마일줄 알았는데, 유머에 추리까지 더해 의외로 여러 방면에서 잼있었다. 정우성, 김향기 연기도 좋았고 그 외 캐릭터들도 입체적으로 살아있어서 좋았다. ",9
41,대박지림 맘에듬 영화 스토리도 탄탄하고 마무리도 완벽함 ,10
42,상당히 뻔한 설정으로 시작하지만 끝내 큰 감동을 안겨준다. 그리고 정우성은 그의 커리어를 통틀어 최고의 연기를 보여줬다. 연말에 상 좀 받을듯! 다른 배우들도 모두 좋았지만 아이캔스피크의 진주댁으로 눈도장을 찍은 염...,10
43,"김향기,정우성의 연기력과 스토리는 완벽했다 반전도 있고 보는 내내 지루하지 않았다 한번 더 봐도 돈이 안아까운 영화이다 ",10
44,이 영화는 좋은 영화입니까? 좋은 영화입니다. ,10
45,가족중에 자폐아가 있어서 더욱 인상깊게 봤다대사 하나하나가 너무 와닿고 주옥같았던 연기력 좋은 영화 ,10
46,"오랜만에 보는 좋은, 착한 영화! 영화 속 대사들이 깊은 울림과 여운을 주네요.. 이런 영화가 더 많이 나왔으면 좋겠습니다. 배우들의 훌륭한 연기에도 박수를! :) ",10
47,사람에 대한 편견을 깨는 따뜻한 시선이 마음을 뭉클하게 하는 영화. 이런 영화는 봐야함! ,10
48,"폭력,선정,자극없이 129분이 따듯한 물주머니를 안고있는것 같았다 ",10
49,힘뺀 정우성 이런류의 작품에선 정우성이딱이네 ,10
50,오마이갓 이런 영화너무 오랜만이고 너무감동적입니다 훌륭한 연기 연출 너무 좋아요 ,10
51,오늘 아침에 조조로 보고 왔습니다~ 정말 재밌게 보고 왔습니다 가족들이랑 꼭 같이 보고 오세요마음이 훈훈해지는 영화 입니다~ ,10
52,진실을 향한 따뜻한 마음.너무 훈훈하고 내 자신을 돌아볼 수있게 해주는 아름다운 영화입니다. ,10
53,너무재밌어요역시완득이감독님이었네요 ,10
54,재미와 감동 모두 느낄 수 있는 영화. 가슴 따뜻한 변호사 역할을 맡은 정우성 배우와 자폐아 역할을 맡은 김향기 배우의 케미가 돋보인다! ,10
55,너무 재미있어요 구성도 좋고 웃기기도하고 감동도 있고 교훈적이도 젛은 엉화! ,10
56,"너무 기대하던 작품이라 조조로 바로 보고옴!!! 정우성 진짜 인생 캐릭터 만난듯 ㅠㅠ 현실적인 연기 너무 좋았고, 김향기 배우는 말할 것도 없이 짱짱 ",10
57,"당신은 좋은 사람입니까? 라는 물음에 말문이 막혔습니다. 순호에게만 던져진 질문은 아닌 듯,, 많은 것을 생각하게 하네요 ",10
58,극한직업보다 일억배는 낫다. 마음이 따뜻해지는 영화. ,10
59,힘든 일있을때  보면 좋은영화 인듯해요...정우성 김향기  화이팅이에요~ ,10
60,영화평점 처음 남겨봅니다. 가끔 소름끼친다는 표현은 하지만....이 영화를 보다가 배우분들의 연기에 진짜 소름끼치는 경험을 했습니다. 정우성과 김향기 배우뿐만 아니라 배우분들 모두 넘 훌륭했고 감동이었습니다 ,10
61,"20대 젊은 정우성의 인생작이 '비트'였다며,  중년의 정우성 인생작은 ""증인"" ",10
62,아역 연기 한 배우에 자폐연기가 너무 감동적 이었습니다.재미 있게 잘 봤습니다 ,9
